ID,0.25,0.5,1.0,2.0,4.0,6.0
A64023,True,True,True,True,True,True
A64030,True,True,True,True,True,True
A64086,True,True,True,True,True,True
A64188,True,True,True,True,True,True
A64189,True,True,True,True,True,True
A64206,True,True,True,True,True,True
A64229,True,True,True,True,True,True
A64235,True,True,True,True,True,True
A64246,True,True,True,True,True,True
A64284,True,True,True,True,True,True
A64313,True,True,True,True,True,True
A64333,True,True,True,True,True,True
A64343,True,True,True,True,True,True
A64349,True,True,True,True,True,True
A64363,True,True,True,True,True,True
A66045,True,True,True,True,True,True
A66171,True,True,True,True,True,True
A66229,True,True,True,True,True,True
A66271,True,True,True,True,True,True
A66320,True,True,True,True,True,True
A66400,True,True,True,True,True,True
A66460,True,True,True,True,True,True
A66464,True,True,True,True,True,True
A66488,True,True,True,True,True,True
A66507,True,True,True,True,True,True
A67556,True,True,True,True,True,True
A67810,True,True,True,True,True,True
A67856,True,True,True,True,True,True
A67942,True,True,True,True,True,True
A68069,True,True,True,True,True,True
A68106,True,True,True,True,True,True
A68230,True,True,True,True,True,True
A68344,True,True,True,True,True,True
A68363,True,True,True,True,True,True
A68398,True,True,True,True,True,True
A68418,True,True,True,True,True,True
A68566,True,True,True,True,True,True
A68643,True,True,True,True,True,True
A68718,False,False,False,False,False,False
A68728,True,True,True,True,True,True
A68809,True,True,True,True,True,True
A68864,True,True,True,True,True,True
A68998,True,True,True,True,True,True
A69036,True,True,True,True,True,True
A69051,True,True,True,True,True,True
A69085,True,True,True,True,True,True
A70164,True,True,True,True,True,True
A70170,False,False,False,False,False,False
A70187,True,True,True,True,True,True
A70206,True,True,True,True,True,True
A70208,False,False,False,False,True,True
A70223,True,True,True,True,True,True
A70269,True,True,True,True,True,True
A70294,True,True,True,True,True,True
A70296,True,True,True,True,True,True
A70343,True,True,True,True,True,True
A70453,True,True,True,True,True,True
A70454,True,True,True,True,True,True
A70470,True,True,True,True,True,True
A70481,True,True,True,True,True,True
A70554,True,True,True,True,True,True
A70562,True,True,True,True,True,True
A70571,True,True,True,True,True,True
A70631,True,True,True,True,True,True
A70646,True,True,True,True,True,True
A70703,True,True,True,True,True,True
A70723,True,True,True,True,True,True
A70764,True,True,True,True,True,True
A70777,True,True,True,True,True,True
A70866,True,True,True,True,True,True
A70869,True,True,True,True,True,True
A70889,True,True,True,True,True,True
A70902,True,True,True,True,True,True
A70905,True,True,True,True,True,False
A70975,True,True,True,True,True,True
A70978,True,True,True,True,True,True
A70983,True,True,True,True,True,True
A70987,True,True,True,True,True,True
A70990,True,True,True,True,True,True
A70998,True,True,True,True,True,True
A71068,True,True,True,True,True,True
A71082,True,True,True,True,True,True
A71170,True,True,True,True,True,True
A71250,True,True,True,True,True,True
A71259,True,True,True,True,True,True
A71264,True,True,True,True,True,True
A71281,True,True,True,True,True,True
A71350,True,True,True,True,True,True
A71362,True,True,True,True,True,True
A71429,False,False,False,False,False,False
A71437,True,True,True,True,True,True
A71467,True,True,True,True,True,True
A71517,True,True,True,True,True,True
A71530,True,True,True,True,True,True
A71537,True,True,True,True,True,True
A71641,False,False,False,False,True,False
A71662,True,True,True,True,True,True
A71709,True,True,True,True,True,True
A71724,True,True,True,True,True,True
A71739,True,True,True,True,True,True
A71810,True,True,True,True,True,True
A71812,True,True,True,True,True,True
A71818,True,True,True,True,True,True
A71904,True,True,True,True,True,True
